files,labels
T_A_ROI_10_locations_CD68.csv,CD68
T_A_ROI_11_locations_CD68.csv,CD68
T_A_ROI_12_locations_CD68.csv,CD68
T_A_ROI_13_locations_CD68.csv,CD68
T_A_ROI_14_locations_CD68.csv,CD68
T_A_ROI_15_locations_CD68.csv,CD68
T_A_ROI_16_locations_CD68.csv,CD68
T_A_ROI_17_locations_CD68.csv,CD68
T_A_ROI_18_locations_CD68.csv,CD68
T_A_ROI_19_locations_CD68.csv,CD68
T_A_ROI_20_locations_CD68.csv,CD68
T_A_ROI_21_locations_CD68.csv,CD68
T_A_ROI_22_locations_CD68.csv,CD68
T_A_ROI_23_locations_CD68.csv,CD68
T_A_ROI_24_locations_CD68.csv,CD68
T_A_ROI_25_locations_CD68.csv,CD68
T_A_ROI_26_locations_CD68.csv,CD68
T_A_ROI_27_locations_CD68.csv,CD68
T_A_ROI_29_locations_CD68.csv,CD68
T_A_ROI_2_locations_CD68.csv,CD68
T_A_ROI_30_locations_CD68.csv,CD68
T_A_ROI_31_locations_CD68.csv,CD68
T_A_ROI_32_locations_CD68.csv,CD68
T_A_ROI_33_locations_CD68.csv,CD68
T_A_ROI_34_locations_CD68.csv,CD68
T_A_ROI_35_locations_CD68.csv,CD68
T_A_ROI_36_locations_CD68.csv,CD68
T_A_ROI_37_locations_CD68.csv,CD68
T_A_ROI_39_locations_CD68.csv,CD68
T_A_ROI_3_locations_CD68.csv,CD68
T_A_ROI_40_locations_CD68.csv,CD68
T_A_ROI_41_locations_CD68.csv,CD68
T_A_ROI_42_locations_CD68.csv,CD68
T_A_ROI_43_locations_CD68.csv,CD68
T_A_ROI_44_locations_CD68.csv,CD68
T_A_ROI_45_locations_CD68.csv,CD68
T_A_ROI_46_locations_CD68.csv,CD68
T_A_ROI_47_locations_CD68.csv,CD68
T_A_ROI_48_locations_CD68.csv,CD68
T_A_ROI_49_locations_CD68.csv,CD68
T_A_ROI_4_locations_CD68.csv,CD68
T_A_ROI_50_locations_CD68.csv,CD68
T_A_ROI_51_locations_CD68.csv,CD68
T_A_ROI_52_locations_CD68.csv,CD68
T_A_ROI_53_locations_CD68.csv,CD68
T_A_ROI_54_locations_CD68.csv,CD68
T_A_ROI_56_locations_CD68.csv,CD68
T_A_ROI_57_locations_CD68.csv,CD68
T_A_ROI_58_locations_CD68.csv,CD68
T_A_ROI_59_locations_CD68.csv,CD68
T_A_ROI_5_locations_CD68.csv,CD68
T_A_ROI_60_locations_CD68.csv,CD68
T_A_ROI_61_locations_CD68.csv,CD68
T_A_ROI_62_locations_CD68.csv,CD68
T_A_ROI_63_locations_CD68.csv,CD68
T_A_ROI_64_locations_CD68.csv,CD68
T_A_ROI_65_locations_CD68.csv,CD68
T_A_ROI_66_locations_CD68.csv,CD68
T_A_ROI_67_locations_CD68.csv,CD68
T_A_ROI_68_locations_CD68.csv,CD68
T_A_ROI_69_locations_CD68.csv,CD68
T_A_ROI_6_locations_CD68.csv,CD68
T_A_ROI_71_locations_CD68.csv,CD68
T_A_ROI_72_locations_CD68.csv,CD68
T_A_ROI_73_locations_CD68.csv,CD68
T_A_ROI_74_locations_CD68.csv,CD68
T_A_ROI_75_locations_CD68.csv,CD68
T_A_ROI_78_locations_CD68.csv,CD68
T_A_ROI_79_locations_CD68.csv,CD68
T_A_ROI_7_locations_CD68.csv,CD68
T_A_ROI_80_locations_CD68.csv,CD68
T_A_ROI_81_locations_CD68.csv,CD68
T_A_ROI_82_locations_CD68.csv,CD68
T_A_ROI_83_locations_CD68.csv,CD68
T_A_ROI_85_locations_CD68.csv,CD68
T_A_ROI_86_locations_CD68.csv,CD68
T_A_ROI_8_locations_CD68.csv,CD68
T_A_ROI_9_locations_CD68.csv,CD68
T_B_ROI_10_locations_CD68.csv,CD68
T_B_ROI_11_locations_CD68.csv,CD68
T_B_ROI_12_locations_CD68.csv,CD68
T_B_ROI_14_locations_CD68.csv,CD68
T_B_ROI_15_locations_CD68.csv,CD68
T_B_ROI_16_locations_CD68.csv,CD68
T_B_ROI_17_locations_CD68.csv,CD68
T_B_ROI_18_locations_CD68.csv,CD68
T_B_ROI_19_locations_CD68.csv,CD68
T_B_ROI_1_locations_CD68.csv,CD68
T_B_ROI_20_locations_CD68.csv,CD68
T_B_ROI_21_locations_CD68.csv,CD68
T_B_ROI_22_locations_CD68.csv,CD68
T_B_ROI_23_locations_CD68.csv,CD68
T_B_ROI_24_locations_CD68.csv,CD68
T_B_ROI_26_locations_CD68.csv,CD68
T_B_ROI_27_locations_CD68.csv,CD68
T_B_ROI_28_locations_CD68.csv,CD68
T_B_ROI_29_locations_CD68.csv,CD68
T_B_ROI_30_locations_CD68.csv,CD68
T_B_ROI_31_locations_CD68.csv,CD68
T_B_ROI_32_locations_CD68.csv,CD68
T_B_ROI_33_locations_CD68.csv,CD68
T_B_ROI_34_locations_CD68.csv,CD68
T_B_ROI_35_locations_CD68.csv,CD68
T_B_ROI_36_locations_CD68.csv,CD68
T_B_ROI_37_locations_CD68.csv,CD68
T_B_ROI_38_locations_CD68.csv,CD68
T_B_ROI_39_locations_CD68.csv,CD68
T_B_ROI_3_locations_CD68.csv,CD68
T_B_ROI_40_locations_CD68.csv,CD68
T_B_ROI_41_locations_CD68.csv,CD68
T_B_ROI_42_locations_CD68.csv,CD68
T_B_ROI_43_locations_CD68.csv,CD68
T_B_ROI_44_locations_CD68.csv,CD68
T_B_ROI_45_locations_CD68.csv,CD68
T_B_ROI_46_locations_CD68.csv,CD68
T_B_ROI_47_locations_CD68.csv,CD68
T_B_ROI_48_locations_CD68.csv,CD68
T_B_ROI_4_locations_CD68.csv,CD68
T_B_ROI_50_locations_CD68.csv,CD68
T_B_ROI_51_locations_CD68.csv,CD68
T_B_ROI_52_locations_CD68.csv,CD68
T_B_ROI_53_locations_CD68.csv,CD68
T_B_ROI_54_locations_CD68.csv,CD68
T_B_ROI_55_locations_CD68.csv,CD68
T_B_ROI_56_locations_CD68.csv,CD68
T_B_ROI_58_locations_CD68.csv,CD68
T_B_ROI_59_locations_CD68.csv,CD68
T_B_ROI_5_locations_CD68.csv,CD68
T_B_ROI_60_locations_CD68.csv,CD68
T_B_ROI_62_locations_CD68.csv,CD68
T_B_ROI_63_locations_CD68.csv,CD68
T_B_ROI_64_locations_CD68.csv,CD68
T_B_ROI_65_locations_CD68.csv,CD68
T_B_ROI_66_locations_CD68.csv,CD68
T_B_ROI_67_locations_CD68.csv,CD68
T_B_ROI_68_locations_CD68.csv,CD68
T_B_ROI_69_locations_CD68.csv,CD68
T_B_ROI_6_locations_CD68.csv,CD68
T_B_ROI_7_locations_CD68.csv,CD68
T_B_ROI_8_locations_CD68.csv,CD68
T_B_ROI_9_locations_CD68.csv,CD68
T_C_ROI_10_locations_CD68.csv,CD68
T_C_ROI_11_locations_CD68.csv,CD68
T_C_ROI_12_locations_CD68.csv,CD68
T_C_ROI_13_locations_CD68.csv,CD68
T_C_ROI_14_locations_CD68.csv,CD68
T_C_ROI_15_locations_CD68.csv,CD68
T_C_ROI_16_locations_CD68.csv,CD68
T_C_ROI_17_locations_CD68.csv,CD68
T_C_ROI_18_locations_CD68.csv,CD68
T_C_ROI_19_locations_CD68.csv,CD68
T_C_ROI_1_locations_CD68.csv,CD68
T_C_ROI_20_locations_CD68.csv,CD68
T_C_ROI_21_locations_CD68.csv,CD68
T_C_ROI_22_locations_CD68.csv,CD68
T_C_ROI_23_locations_CD68.csv,CD68
T_C_ROI_24_locations_CD68.csv,CD68
T_C_ROI_25_locations_CD68.csv,CD68
T_C_ROI_26_locations_CD68.csv,CD68
T_C_ROI_27_locations_CD68.csv,CD68
T_C_ROI_28_locations_CD68.csv,CD68
T_C_ROI_29_locations_CD68.csv,CD68
T_C_ROI_2_locations_CD68.csv,CD68
T_C_ROI_30_locations_CD68.csv,CD68
T_C_ROI_31_locations_CD68.csv,CD68
T_C_ROI_32_locations_CD68.csv,CD68
T_C_ROI_33_locations_CD68.csv,CD68
T_C_ROI_34_locations_CD68.csv,CD68
T_C_ROI_35_locations_CD68.csv,CD68
T_C_ROI_36_locations_CD68.csv,CD68
T_C_ROI_37_locations_CD68.csv,CD68
T_C_ROI_38_locations_CD68.csv,CD68
T_C_ROI_39_locations_CD68.csv,CD68
T_C_ROI_3_locations_CD68.csv,CD68
T_C_ROI_40_locations_CD68.csv,CD68
T_C_ROI_41_locations_CD68.csv,CD68
T_C_ROI_42_locations_CD68.csv,CD68
T_C_ROI_43_locations_CD68.csv,CD68
T_C_ROI_44_locations_CD68.csv,CD68
T_C_ROI_45_locations_CD68.csv,CD68
T_C_ROI_46_locations_CD68.csv,CD68
T_C_ROI_47_locations_CD68.csv,CD68
T_C_ROI_48_locations_CD68.csv,CD68
T_C_ROI_49_locations_CD68.csv,CD68
T_C_ROI_4_locations_CD68.csv,CD68
T_C_ROI_50_locations_CD68.csv,CD68
T_C_ROI_51_locations_CD68.csv,CD68
T_C_ROI_52_locations_CD68.csv,CD68
T_C_ROI_53_locations_CD68.csv,CD68
T_C_ROI_54_locations_CD68.csv,CD68
T_C_ROI_55_locations_CD68.csv,CD68
T_C_ROI_56_locations_CD68.csv,CD68
T_C_ROI_57_locations_CD68.csv,CD68
T_C_ROI_58_locations_CD68.csv,CD68
T_C_ROI_59_locations_CD68.csv,CD68
T_C_ROI_5_locations_CD68.csv,CD68
T_C_ROI_60_locations_CD68.csv,CD68
T_C_ROI_61_locations_CD68.csv,CD68
T_C_ROI_62_locations_CD68.csv,CD68
T_C_ROI_63_locations_CD68.csv,CD68
T_C_ROI_64_locations_CD68.csv,CD68
T_C_ROI_65_locations_CD68.csv,CD68
